captured_kst,language,positive,negative,total,positive_ratio
2026-06-19 17:45:39,all,231,88,319,0.7241
2026-06-19 17:45:39,schinese,82,60,142,0.5775
2026-06-19 17:45:39,english,66,4,70,0.9429
2026-06-19 17:45:39,koreana,41,8,49,0.8367
2026-06-19 17:45:39,tchinese,15,13,28,0.5357
2026-06-19 17:45:39,russian,7,1,8,0.875
2026-06-19 17:45:39,brazilian,3,0,3,1.0
2026-06-19 17:45:39,latam,3,0,3,1.0
2026-06-19 17:45:39,turkish,3,0,3,1.0
2026-06-19 17:45:39,spanish,2,1,3,0.6667
2026-06-19 17:45:39,thai,2,0,2,1.0
2026-06-19 17:45:39,french,2,0,2,1.0
2026-06-19 17:45:39,ukrainian,2,0,2,1.0
2026-06-19 17:45:39,german,2,0,2,1.0
2026-06-19 17:45:39,vietnamese,0,1,1,0.0
2026-06-19 17:45:39,japanese,1,0,1,1.0
2026-06-19 17:54:08,all,231,88,319,0.7241
2026-06-19 17:54:08,schinese,82,60,142,0.5775
2026-06-19 17:54:08,english,66,4,70,0.9429
2026-06-19 17:54:08,koreana,41,8,49,0.8367
2026-06-19 17:54:08,tchinese,15,13,28,0.5357
2026-06-19 17:54:08,russian,7,1,8,0.875
2026-06-19 17:54:08,brazilian,3,0,3,1.0
2026-06-19 17:54:08,latam,3,0,3,1.0
2026-06-19 17:54:08,turkish,3,0,3,1.0
2026-06-19 17:54:08,spanish,2,1,3,0.6667
2026-06-19 17:54:08,thai,2,0,2,1.0
2026-06-19 17:54:08,french,2,0,2,1.0
2026-06-19 17:54:08,ukrainian,2,0,2,1.0
2026-06-19 17:54:08,german,2,0,2,1.0
2026-06-19 17:54:08,vietnamese,0,1,1,0.0
2026-06-19 17:54:08,japanese,1,0,1,1.0
2026-06-19 18:07:04,all,231,88,319,0.7241
2026-06-19 18:07:04,schinese,82,60,142,0.5775
2026-06-19 18:07:04,english,66,4,70,0.9429
2026-06-19 18:07:04,koreana,41,8,49,0.8367
2026-06-19 18:07:04,tchinese,15,13,28,0.5357
2026-06-19 18:07:04,russian,7,1,8,0.875
2026-06-19 18:07:04,brazilian,3,0,3,1.0
2026-06-19 18:07:04,latam,3,0,3,1.0
2026-06-19 18:07:04,turkish,3,0,3,1.0
2026-06-19 18:07:04,spanish,2,1,3,0.6667
2026-06-19 18:07:04,thai,2,0,2,1.0
2026-06-19 18:07:04,french,2,0,2,1.0
2026-06-19 18:07:04,ukrainian,2,0,2,1.0
2026-06-19 18:07:04,german,2,0,2,1.0
2026-06-19 18:07:04,vietnamese,0,1,1,0.0
2026-06-19 18:07:04,japanese,1,0,1,1.0
2026-06-19 18:12:46,all,235,92,327,0.7187
2026-06-19 18:12:46,schinese,84,62,146,0.5753
2026-06-19 18:12:46,english,68,5,73,0.9315
2026-06-19 18:12:46,koreana,41,8,49,0.8367
2026-06-19 18:12:46,tchinese,15,14,29,0.5172
2026-06-19 18:12:46,russian,7,1,8,0.875
2026-06-19 18:12:46,brazilian,3,0,3,1.0
2026-06-19 18:12:46,latam,3,0,3,1.0
2026-06-19 18:12:46,turkish,3,0,3,1.0
2026-06-19 18:12:46,spanish,2,1,3,0.6667
2026-06-19 18:12:46,thai,2,0,2,1.0
2026-06-19 18:12:46,french,2,0,2,1.0
2026-06-19 18:12:46,ukrainian,2,0,2,1.0
2026-06-19 18:12:46,german,2,0,2,1.0
2026-06-19 18:12:46,vietnamese,0,1,1,0.0
2026-06-19 18:12:46,japanese,1,0,1,1.0
2026-06-19 18:25:55,all,235,92,327,0.7187
2026-06-19 18:25:55,schinese,84,62,146,0.5753
2026-06-19 18:25:55,english,68,5,73,0.9315
2026-06-19 18:25:55,koreana,41,8,49,0.8367
2026-06-19 18:25:55,tchinese,15,14,29,0.5172
2026-06-19 18:25:55,russian,7,1,8,0.875
2026-06-19 18:25:55,brazilian,3,0,3,1.0
2026-06-19 18:25:55,latam,3,0,3,1.0
2026-06-19 18:25:55,turkish,3,0,3,1.0
2026-06-19 18:25:55,spanish,2,1,3,0.6667
2026-06-19 18:25:55,thai,2,0,2,1.0
2026-06-19 18:25:55,french,2,0,2,1.0
2026-06-19 18:25:55,ukrainian,2,0,2,1.0
2026-06-19 18:25:55,german,2,0,2,1.0
2026-06-19 18:25:55,vietnamese,0,1,1,0.0
2026-06-19 18:25:55,japanese,1,0,1,1.0
2026-06-19 18:33:05,all,235,92,327,0.7187
2026-06-19 18:33:05,schinese,84,62,146,0.5753
2026-06-19 18:33:05,english,68,5,73,0.9315
2026-06-19 18:33:05,koreana,41,8,49,0.8367
2026-06-19 18:33:05,tchinese,15,14,29,0.5172
2026-06-19 18:33:05,russian,7,1,8,0.875
2026-06-19 18:33:05,brazilian,3,0,3,1.0
2026-06-19 18:33:05,latam,3,0,3,1.0
2026-06-19 18:33:05,turkish,3,0,3,1.0
2026-06-19 18:33:05,spanish,2,1,3,0.6667
2026-06-19 18:33:05,thai,2,0,2,1.0
2026-06-19 18:33:05,french,2,0,2,1.0
2026-06-19 18:33:05,ukrainian,2,0,2,1.0
2026-06-19 18:33:05,german,2,0,2,1.0
2026-06-19 18:33:05,vietnamese,0,1,1,0.0
2026-06-19 18:33:05,japanese,1,0,1,1.0
2026-06-19 19:00:08,all,235,92,327,0.7187
2026-06-19 19:00:08,schinese,84,62,146,0.5753
2026-06-19 19:00:08,english,68,5,73,0.9315
2026-06-19 19:00:08,koreana,41,8,49,0.8367
2026-06-19 19:00:08,tchinese,15,14,29,0.5172
2026-06-19 19:00:08,russian,7,1,8,0.875
2026-06-19 19:00:08,brazilian,3,0,3,1.0
2026-06-19 19:00:08,latam,3,0,3,1.0
2026-06-19 19:00:08,turkish,3,0,3,1.0
2026-06-19 19:00:08,spanish,2,1,3,0.6667
2026-06-19 19:00:08,thai,2,0,2,1.0
2026-06-19 19:00:08,french,2,0,2,1.0
2026-06-19 19:00:08,ukrainian,2,0,2,1.0
2026-06-19 19:00:08,german,2,0,2,1.0
2026-06-19 19:00:08,vietnamese,0,1,1,0.0
2026-06-19 19:00:08,japanese,1,0,1,1.0
2026-06-19 19:14:36,collected_all,235,92,327,0.7187
2026-06-19 19:14:36,steam_official,239,96,335,0.7134
2026-06-19 19:14:36,steam_with_offtopic,239,96,335,0.7134
2026-06-19 19:14:36,schinese,84,62,146,0.5753
2026-06-19 19:14:36,english,68,5,73,0.9315
2026-06-19 19:14:36,koreana,41,8,49,0.8367
2026-06-19 19:14:36,tchinese,15,14,29,0.5172
2026-06-19 19:14:36,russian,7,1,8,0.875
2026-06-19 19:14:36,brazilian,3,0,3,1.0
2026-06-19 19:14:36,latam,3,0,3,1.0
2026-06-19 19:14:36,turkish,3,0,3,1.0
2026-06-19 19:14:36,spanish,2,1,3,0.6667
2026-06-19 19:14:36,thai,2,0,2,1.0
2026-06-19 19:14:36,french,2,0,2,1.0
2026-06-19 19:14:36,ukrainian,2,0,2,1.0
2026-06-19 19:14:36,german,2,0,2,1.0
2026-06-19 19:14:36,vietnamese,0,1,1,0.0
2026-06-19 19:14:36,japanese,1,0,1,1.0
2026-06-19 19:28:16,collected_base,241,98,339,0.7109
2026-06-19 19:28:16,steam_official,239,96,335,0.7134
2026-06-19 19:28:16,offtopic_count,,,0,
2026-06-19 19:28:16,deleted_count,,,0,
2026-06-19 19:28:16,schinese,88,67,155,0.5677
2026-06-19 19:28:16,english,68,5,73,0.9315
2026-06-19 19:28:16,koreana,41,9,50,0.82
2026-06-19 19:28:16,tchinese,16,14,30,0.5333
2026-06-19 19:28:16,russian,8,1,9,0.8889
2026-06-19 19:28:16,brazilian,3,0,3,1.0
2026-06-19 19:28:16,latam,3,0,3,1.0
2026-06-19 19:28:16,turkish,3,0,3,1.0
2026-06-19 19:28:16,spanish,2,1,3,0.6667
2026-06-19 19:28:16,thai,2,0,2,1.0
2026-06-19 19:28:16,french,2,0,2,1.0
2026-06-19 19:28:16,ukrainian,2,0,2,1.0
2026-06-19 19:28:16,german,2,0,2,1.0
2026-06-19 19:28:16,vietnamese,0,1,1,0.0
2026-06-19 19:28:16,japanese,1,0,1,1.0
2026-06-19 19:38:53,collected_base,241,98,339,0.7109
2026-06-19 19:38:53,steam_official,239,96,335,0.7134
2026-06-19 19:38:53,offtopic_count,,,0,
2026-06-19 19:38:53,deleted_count,,,0,
2026-06-19 19:38:53,schinese,88,67,155,0.5677
2026-06-19 19:38:53,english,68,5,73,0.9315
2026-06-19 19:38:53,koreana,41,9,50,0.82
2026-06-19 19:38:53,tchinese,16,14,30,0.5333
2026-06-19 19:38:53,russian,8,1,9,0.8889
2026-06-19 19:38:53,brazilian,3,0,3,1.0
2026-06-19 19:38:53,latam,3,0,3,1.0
2026-06-19 19:38:53,turkish,3,0,3,1.0
2026-06-19 19:38:53,spanish,2,1,3,0.6667
2026-06-19 19:38:53,thai,2,0,2,1.0
2026-06-19 19:38:53,french,2,0,2,1.0
2026-06-19 19:38:53,ukrainian,2,0,2,1.0
2026-06-19 19:38:53,german,2,0,2,1.0
2026-06-19 19:38:53,vietnamese,0,1,1,0.0
2026-06-19 19:38:53,japanese,1,0,1,1.0
2026-06-19 20:38:28,collected_base,248,102,350,0.7086
2026-06-19 20:38:28,steam_official,246,100,346,0.711
2026-06-19 20:38:28,offtopic_count,,,0,
2026-06-19 20:38:28,deleted_count,,,0,
2026-06-19 20:38:28,schinese,91,70,161,0.5652
2026-06-19 20:38:28,english,70,5,75,0.9333
2026-06-19 20:38:28,koreana,42,9,51,0.8235
2026-06-19 20:38:28,tchinese,16,15,31,0.5161
2026-06-19 20:38:28,russian,8,1,9,0.8889
2026-06-19 20:38:28,brazilian,3,0,3,1.0
2026-06-19 20:38:28,thai,3,0,3,1.0
2026-06-19 20:38:28,latam,3,0,3,1.0
2026-06-19 20:38:28,turkish,3,0,3,1.0
2026-06-19 20:38:28,spanish,2,1,3,0.6667
2026-06-19 20:38:28,french,2,0,2,1.0
2026-06-19 20:38:28,ukrainian,2,0,2,1.0
2026-06-19 20:38:28,german,2,0,2,1.0
2026-06-19 20:38:28,vietnamese,0,1,1,0.0
2026-06-19 20:38:28,japanese,1,0,1,1.0
2026-06-19 20:51:33,collected_all,248,102,350,0.7086
2026-06-19 20:51:33,steam_total,246,100,346,0.711
2026-06-19 20:51:33,deleted_count,,,0,
2026-06-19 20:51:33,schinese,91,70,161,0.5652
2026-06-19 20:51:33,english,70,5,75,0.9333
2026-06-19 20:51:33,koreana,42,9,51,0.8235
2026-06-19 20:51:33,tchinese,16,15,31,0.5161
2026-06-19 20:51:33,russian,8,1,9,0.8889
2026-06-19 20:51:33,brazilian,3,0,3,1.0
2026-06-19 20:51:33,thai,3,0,3,1.0
2026-06-19 20:51:33,latam,3,0,3,1.0
2026-06-19 20:51:33,turkish,3,0,3,1.0
2026-06-19 20:51:33,spanish,2,1,3,0.6667
2026-06-19 20:51:33,french,2,0,2,1.0
2026-06-19 20:51:33,ukrainian,2,0,2,1.0
2026-06-19 20:51:33,german,2,0,2,1.0
2026-06-19 20:51:33,vietnamese,0,1,1,0.0
2026-06-19 20:51:33,japanese,1,0,1,1.0
2026-06-19 21:10:19,collected_all,248,102,350,0.7086
2026-06-19 21:10:19,steam_total,249,105,354,0.7034
2026-06-19 21:10:19,deleted_count,,,0,
2026-06-19 21:10:19,schinese,91,70,161,0.5652
2026-06-19 21:10:19,english,70,5,75,0.9333
2026-06-19 21:10:19,koreana,42,9,51,0.8235
